bits,p,a,b,px,py,qx,qy,expected,provided,success,elapsed_seconds,one_cycle_iteration_count
10,701,173,172,115,689,319,353,23,23,True,0.000733,52
10,983,505,776,954,196,250,799,47,47,True,0.000211,62
10,1013,201,666,878,101,878,101,1,1,True,0.000159,62
10,613,486,569,2,218,421,419,363,363,True,0.001047,48
10,971,31,734,122,930,603,932,450,450,True,0.001277,62
10,719,487,501,618,467,201,709,6,6,True,0.000710,52
10,839,835,615,532,507,763,775,213,213,True,0.000504,56
10,619,247,398,285,405,122,511,4,4,True,0.000417,48
10,761,2,129,606,93,350,33,8,18,False,0.000092,54
10,541,444,399,393,475,452,438,131,131,True,0.000338,46
11,1663,530,1445,401,935,795,1573,462,462,True,0.000573,80
11,1153,427,371,976,782,644,305,627,627,True,0.001230,66
11,1433,688,1120,924,1281,577,102,734,734,True,0.000350,74
11,2027,741,914,356,1224,9,1187,762,762,True,0.002894,90
11,1117,75,135,1095,301,670,941,662,662,True,0.000850,66
11,1063,329,717,181,941,954,276,474,474,True,0.000334,64
11,1201,24,463,20,297,477,342,450,450,True,0.000730,68
11,1223,46,297,286,195,618,859,134,134,True,0.001026,68
11,1613,1223,1417,1427,1528,1083,1376,66,66,True,0.000236,80
11,1979,1377,1044,1784,575,18,1028,189,189,True,0.000284,88
12,3407,615,3232,1462,1766,2070,2745,2043,2043,True,0.001166,116
12,2999,450,2049,1273,2314,275,2646,620,620,True,0.000527,108
12,2593,281,2044,2141,1186,1838,1121,979,979,True,0.000428,100
12,2477,1516,2406,2033,975,2266,1879,702,702,True,0.000807,98
12,3821,1917,989,3466,2434,3181,713,329,329,True,0.000431,122
12,2411,1829,1739,129,1312,1255,1507,1263,1263,True,0.002226,98
12,2617,2232,1939,114,1576,684,209,2503,2503,True,0.001387,102
12,3559,1739,2329,1963,2931,2881,1721,129,129,True,0.004255,118
12,3559,2612,3185,3065,3062,2669,1699,3305,3305,True,0.001589,118
12,2671,2479,1485,1183,604,2373,2542,1207,1207,True,0.000918,102
13,6397,4576,6018,2205,1495,4426,2597,1134,1134,True,0.002449,158
13,7853,4272,4247,5634,170,4573,5199,1736,1736,True,0.000673,176
13,4931,1804,2637,4443,2725,4042,1074,1387,1387,True,0.002244,140
13,6133,5138,5934,4788,1517,3243,1126,880,880,True,0.000599,156
13,7549,1490,7406,5972,2363,3897,3548,334,334,True,0.002258,172
13,7643,6116,3679,7223,5726,259,2215,2570,2570,True,0.000697,174
13,5419,4152,2264,1468,378,3966,2125,33,33,True,0.000555,146
13,6389,4858,3947,90,1394,2571,5787,4810,4810,True,0.002636,158
13,5107,241,4347,4805,2316,4077,566,2214,2214,True,0.000485,142
13,7459,3787,356,1848,6436,4427,3484,1896,1896,True,0.000602,172
14,10369,3007,6301,3251,2860,2058,4322,9285,9285,True,0.001957,202
14,15349,10735,4479,14419,12770,5024,747,8893,8893,True,0.006255,246
14,10433,5441,5319,10138,4942,10109,10006,42,42,True,0.000277,204
14,10301,466,7334,2050,874,2353,1505,294,294,True,0.005216,202
14,15497,10242,12531,2673,1718,12141,4684,6227,6227,True,0.005981,248
